target_label,seed,score,known_coverage_target,threshold,known_test_coverage,known_false_reject_rate,unknown_recall,unknown_auroc,unknown_auprc,known_accepted_l3_accuracy,known_rejected_parent_accuracy,unknown_rejected_parent_accuracy,unknown_parent_safe_rate,known_accepted_l3_risk,known_hierarchical_accuracy,unknown_hierarchical_accuracy,combined_hierarchical_accuracy,unknown_unsafe_accept_rate,n_val_known,n_test_known,n_test_unknown
NK_3,43,energy,0.95,-4.535958766937256,0.9435407233495444,0.05645927665045559,0.1775244299674267,0.5385146059039794,0.05564081963765334,0.9395106345162628,0.7326732673267327,0.9541284403669725,0.16938110749185667,0.06048936548373718,0.9278327463804573,0.16938110749185667,0.9026644327946819,0.8224755700325733,9939,17889,614
NK_3,43,energy,0.8,-5.051464080810547,0.8047403432276818,0.19525965677231819,0.3485342019543974,0.5385146059039794,0.05564081963765334,0.9531119755487636,0.8826223876324076,0.9766355140186916,0.34039087947882735,0.04688802445123641,0.9393482028061938,0.34039087947882735,0.9194725179700589,0.6514657980456026,9939,17889,614
CD4 TCM_1,41,one_minus_max_probability,0.95,0.28031545877456665,0.935471233490038,0.06452876650996195,0.3583106267029973,0.7001562396112211,0.13645481975135673,0.9406521088842357,0.7779705117085863,0.3916349809885932,0.14032697547683923,0.05934789111576433,0.9301544660846206,0.14032697547683923,0.8989893559832276,0.6416893732970027,9927,17868,734
CD4 TCM_1,41,one_minus_max_probability,0.8,0.19819778203964233,0.7918625475710768,0.2081374524289232,0.47002724795640327,0.7001562396112211,0.13645481975135673,0.9418333451127289,0.9091153535896747,0.3826086956521739,0.17983651226158037,0.05816665488727113,0.9350235057085292,0.17983651226158037,0.9052252445973551,0.5299727520435967,9927,17868,734
CD4 TCM_1,41,one_minus_margin,0.95,0.400735080242157,0.9360868591896128,0.06391314081038728,0.32697547683923706,0.701632818690378,0.11341741755248327,0.9405117780700706,0.7863397548161121,0.3875,0.12670299727520437,0.05948822192992942,0.9306581598388179,0.12670299727520437,0.898935598322761,0.6730245231607629,9927,17868,734
CD4 TCM_1,41,one_minus_margin,0.8,0.2121356725692749,0.7880568614282516,0.21194313857174837,0.494550408719346,0.701632818690378,0.11341741755248327,0.9479440380654783,0.9012410879324003,0.38292011019283745,0.1893732970027248,0.052055961934521666,0.9380456682337139,0.1893732970027248,0.9085044618858187,0.5054495912806539,9927,17868,734
CD4 TCM_1,41,energy,0.95,-4.7291646003723145,0.9351354376539064,0.06486456234609357,0.5054495912806539,0.8085147500074724,0.2234918982301908,0.9398527739541565,0.7661777394305436,0.42857142857142855,0.21662125340599456,0.06014722604584355,0.9285874188493396,0.21662125340599456,0.9004945704762929,0.494550408719346,9927,17868,734
CD4 TCM_1,41,energy,0.8,-5.0870890617370605,0.7932057309156033,0.2067942690843967,0.6580381471389646,0.8085147500074724,0.2234918982301908,0.9472235941579059,0.896617050067659,0.4409937888198758,0.2901907356948229,0.05277640584209409,0.9367584508618759,0.2901907356948229,0.9112461025696161,0.3419618528610354,9927,17868,734
CD4 TCM_1,42,one_minus_max_probability,0.95,0.4587973356246948,0.9414036265950302,0.05859637340496978,0.3678474114441417,0.7684982026840488,0.18083028039171362,0.9366862850008918,0.7984718242597899,0.45925925925925926,0.16893732970027248,0.0633137149991082,0.9285874188493396,0.16893732970027248,0.8986130523599613,0.6321525885558583,9927,17868,734
CD4 TCM_1,42,one_minus_max_probability,0.8,0.23729413747787476,0.7555406312961719,0.24445936870382806,0.6444141689373297,0.7684982026840488,0.18083028039171362,0.9612592592592593,0.9093406593406593,0.44820295983086683,0.2888283378746594,0.03874074074074074,0.9485672710991717,0.2888283378746594,0.9225352112676056,0.3555858310626703,9927,17868,734
CD4 TCM_1,42,one_minus_margin,0.95,0.7234525084495544,0.9392769196328632,0.06072308036713678,0.2574931880108992,0.7540927976825512,0.11379603098981093,0.9363641780372997,0.8267281105990784,0.43386243386243384,0.11171662125340599,0.06363582196270035,0.9297067383031117,0.11171662125340599,0.8974303838296958,0.7425068119891008,9927,17868,734
CD4 TCM_1,42,one_minus_margin,0.8,0.2704259157180786,0.7718267293485561,0.2281732706514439,0.667574931880109,0.7540927976825512,0.11379603098981093,0.971865709520702,0.8913416727986264,0.45918367346938777,0.3065395095367847,0.028134290479298052,0.953492276695769,0.3065395095367847,0.9279647349747339,0.33242506811989103,9927,17868,734
CD4 TCM_1,42,energy,0.95,-4.679667949676514,0.9511976718155362,0.048802328184463846,0.5204359673024523,0.8010189314433609,0.25513929209377995,0.9247469992939515,0.8004587155963303,0.4869109947643979,0.25340599455040874,0.07525300070604846,0.9186814416834564,0.25340599455040874,0.8924309214063004,0.47956403269754766,9927,17868,734
CD4 TCM_1,42,energy,0.8,-4.856611728668213,0.7925901052160287,0.20740989478397134,0.6021798365122616,0.8010189314433609,0.25513929209377995,0.9172433272136704,0.9392876416621695,0.47737556561085975,0.28746594005449594,0.08275667278632959,0.9218155361540183,0.28746594005449594,0.8967852919040963,0.3978201634877384,9927,17868,734
CD4 TCM_1,43,one_minus_max_probability,0.95,0.330020010471344,0.9403402731139467,0.05965972688605328,0.3787465940054496,0.7271651587878167,0.17425027621137346,0.9386382573503155,0.7823639774859287,0.4460431654676259,0.16893732970027248,0.061361742649684525,0.9293149764942915,0.16893732970027248,0.8993119019460273,0.6212534059945504,9927,17868,734
