test_donor,seed,variant,n_test,n_known_test,n_unknown_test,accuracy,weighted_f1,macro_f1,balanced_accuracy
P2,43,margin_gate_hsr,17205,17205,0,0.9183376925312409,0.9169782774928307,0.8245633984035485,0.8146496865787837
P3,41,rna_branch,14660,14660,0,0.8821282401091405,0.8808777693746392,0.7300527933906513,0.7590148951796294
P3,41,adt_branch,14660,14660,0,0.8322646657571623,0.8286345864107517,0.6323509547867923,0.6823361989038036
P3,41,fusion_branch,14660,14660,0,0.8997271487039563,0.8982913311771096,0.787568768347896,0.8197518812203279
P3,41,uniform_fusion,14660,14660,0,0.9051159618008185,0.9018208890139118,0.8034327828421656,0.8206125120920345
P3,41,margin_gate,14660,14660,0,0.9038199181446112,0.9006028545497744,0.7997418673090668,0.8187996332226612
P3,41,margin_gate_hsr,14660,14660,0,0.9038881309686221,0.9006726921511017,0.7985879566133259,0.8158240919186364
P3,42,rna_branch,14660,14660,0,0.8851978171896316,0.8802692457640958,0.7365254630900838,0.7374002305575709
P3,42,adt_branch,14660,14660,0,0.8421555252387449,0.8386171230454672,0.6582517687307192,0.6933042315631963
P3,42,fusion_branch,14660,14660,0,0.9064120054570259,0.9016598044279247,0.7893452353657839,0.7758036195711392
P3,42,uniform_fusion,14660,14660,0,0.9077762619372443,0.9024698734321214,0.7876332554445047,0.7771236687552516
P3,42,margin_gate,14660,14660,0,0.9058663028649386,0.9005582476713477,0.7851793582839314,0.7747213471784168
P3,42,margin_gate_hsr,14660,14660,0,0.906343792633015,0.9010726565903407,0.7862420370465021,0.7754029976288098
P3,43,rna_branch,14660,14660,0,0.8847885402455662,0.8802479632728226,0.7348915560474386,0.740170098777099
P3,43,adt_branch,14660,14660,0,0.8433833560709414,0.8391369101868075,0.6629895302983035,0.698990287439797
P3,43,fusion_branch,14660,14660,0,0.9064120054570259,0.9015629580702698,0.782943999347646,0.7761377572751107
P3,43,uniform_fusion,14660,14660,0,0.9075716234652115,0.9020666077518902,0.78459515796761,0.7758459069265132
P3,43,margin_gate,14660,14660,0,0.9068212824010914,0.9018339053077229,0.7802462324905765,0.7757540903331395
P3,43,margin_gate_hsr,14660,14660,0,0.9068212824010914,0.9018462620456903,0.7828311948477107,0.7766894419818288
P4,41,rna_branch,17090,17090,0,0.8973083674663546,0.8955819423174772,0.7383777690388331,0.7256339488688115
P4,41,adt_branch,17090,17090,0,0.8167349327091866,0.8275253984286579,0.6455485132028567,0.6648052183897849
P4,41,fusion_branch,17090,17090,0,0.914979520187244,0.9152998889874755,0.7817278036401304,0.7708723381088568
P4,41,uniform_fusion,17090,17090,0,0.916500877706261,0.9167367148497664,0.7805760314209597,0.7677355671162304
P4,41,margin_gate,17090,17090,0,0.9169104739613809,0.9169821420144998,0.7826139291805355,0.768964994788531
P4,41,margin_gate_hsr,17090,17090,0,0.9162083089526039,0.9163462995726416,0.7822061189762317,0.7686533430872561
P4,42,rna_branch,17090,17090,0,0.8907548273844353,0.8895311374221138,0.7212888240868633,0.717763078685414
P4,42,adt_branch,17090,17090,0,0.8172030427150381,0.8285010714703978,0.6306818405950887,0.6653305500721532
P4,42,fusion_branch,17090,17090,0,0.9059098888238736,0.9077996759819903,0.7698319780925217,0.7688681502131088
P4,42,uniform_fusion,17090,17090,0,0.911234640140433,0.9131510033016909,0.7764578831377146,0.7743395402545354
P4,42,margin_gate,17090,17090,0,0.9088355763604447,0.9106628554723593,0.7712516418122352,0.7710451010827174
P4,42,margin_gate_hsr,17090,17090,0,0.9091281451141018,0.9110119627729432,0.7724201325666772,0.7716843862583388
P4,43,rna_branch,17090,17090,0,0.8899356348741955,0.8911459326997019,0.7282451065784263,0.7351247711139319
P4,43,adt_branch,17090,17090,0,0.8172615564657695,0.8303588460912908,0.6318723714548802,0.6708261423460905
P4,43,fusion_branch,17090,17090,0,0.91234640140433,0.9149898259656734,0.779749145427708,0.7867102531519301
P4,43,uniform_fusion,17090,17090,0,0.914569923932124,0.9166391168818532,0.7837719467645088,0.7856356639628539
P4,43,margin_gate,17090,17090,0,0.914569923932124,0.9164281504633269,0.7844787475558672,0.7866795505658564
P4,43,margin_gate_hsr,17090,17090,0,0.9139847864248098,0.9159067479502051,0.7828629614514736,0.7830316281785202
P5,41,rna_branch,21811,21811,0,0.897574618311861,0.8994808135043768,0.782878095024873,0.8021556794931413
P5,41,adt_branch,21811,21811,0,0.8313236440328274,0.8284494582013286,0.6545895615026629,0.6965592621648504
P5,41,fusion_branch,21811,21811,0,0.9141717482004493,0.9148939390668261,0.8291645819696704,0.839486069420284
P5,41,uniform_fusion,21811,21811,0,0.915455504103434,0.9157450267431605,0.8375093876551596,0.8449815371812059
P5,41,margin_gate,21811,21811,0,0.914767777726835,0.9150129377327553,0.8339948663508016,0.8429709846399535
P5,41,margin_gate_hsr,21811,21811,0,0.914997019852368,0.9152046901090144,0.8331664537456858,0.8409689811490043
P5,42,rna_branch,21811,21811,0,0.8969785887854752,0.8985418056290121,0.77571327570347,0.8093508365916064
P5,42,adt_branch,21811,21811,0,0.8396680574022283,0.8392560585835385,0.6813888054591773,0.7160379383176325
P5,42,fusion_branch,21811,21811,0,0.9155472009536473,0.9166870900535302,0.8280607347546135,0.8470572229091285
P5,42,uniform_fusion,21811,21811,0,0.9176562285085508,0.9184344545086094,0.8363606776634518,0.8495516549865895
P5,42,margin_gate,21811,21811,0,0.9171518958323781,0.9178241264867901,0.8353475050450934,0.8442975696848197
P5,42,margin_gate_hsr,21811,21811,0,0.9171977442574848,0.9178794523866678,0.8358065688222726,0.8440200835275453
