test_donor,seed,score,score_label,coverage,risk
P6,41,final_uncertainty,Final uncertainty,0.8,0.057855722292532996
P6,41,final_uncertainty,Final uncertainty,0.9,0.05624899555365083
P6,41,final_uncertainty,Final uncertainty,0.95,0.06932602517255379
P6,41,combined_logistic_lodo,Combined LODO,0.5,0.017741779963359367
P6,41,combined_logistic_lodo,Combined LODO,0.6,0.017115307352350343
P6,41,combined_logistic_lodo,Combined LODO,0.7,0.025414973483022248
P6,41,combined_logistic_lodo,Combined LODO,0.8,0.04001687458566865
P6,41,combined_logistic_lodo,Combined LODO,0.9,0.05924894198317887
P6,41,combined_logistic_lodo,Combined LODO,0.95,0.07176207876573285
P6,41,branch_disagreement,Top-label conflict,0.5,0.03934046861440555
P6,41,branch_disagreement,Top-label conflict,0.6,0.03873041382081157
P6,41,branch_disagreement,Top-label conflict,0.7,0.0393277773951374
P6,41,branch_disagreement,Top-label conflict,0.8,0.04230699692641475
P6,41,branch_disagreement,Top-label conflict,0.9,0.06760593560829271
P6,41,branch_disagreement,Top-label conflict,0.95,0.07861347949654893
P6,42,final_uncertainty,Final uncertainty,0.5,0.07887378266319545
P6,42,final_uncertainty,Final uncertainty,0.6,0.07971072719967859
P6,42,final_uncertainty,Final uncertainty,0.7,0.07899993112473311
P6,42,final_uncertainty,Final uncertainty,0.8,0.07093352618574097
P6,42,final_uncertainty,Final uncertainty,0.9,0.06476670059463224
P6,42,final_uncertainty,Final uncertainty,0.95,0.07160982541615915
P6,42,combined_logistic_lodo,Combined LODO,0.5,0.019573811590010606
P6,42,combined_logistic_lodo,Combined LODO,0.6,0.019043792687826435
P6,42,combined_logistic_lodo,Combined LODO,0.7,0.02775673255733866
P6,42,combined_logistic_lodo,Combined LODO,0.8,0.045681914060145844
P6,42,combined_logistic_lodo,Combined LODO,0.9,0.06605239192157283
P6,42,combined_logistic_lodo,Combined LODO,0.95,0.07632967925294357
P6,42,branch_disagreement,Top-label conflict,0.5,0.041268922958248966
P6,42,branch_disagreement,Top-label conflict,0.6,0.0407392527119325
P6,42,branch_disagreement,Top-label conflict,0.7,0.041187409601212206
P6,42,branch_disagreement,Top-label conflict,0.8,0.046706442475742786
P6,42,branch_disagreement,Top-label conflict,0.9,0.0709273048695559
P6,42,branch_disagreement,Top-label conflict,0.95,0.081861550954121
P6,43,final_uncertainty,Final uncertainty,0.5,0.08041654613827018
P6,43,final_uncertainty,Final uncertainty,0.6,0.07842507030936119
P6,43,final_uncertainty,Final uncertainty,0.7,0.08079068806391625
P6,43,final_uncertainty,Final uncertainty,0.8,0.0735852467908154
P6,43,final_uncertainty,Final uncertainty,0.9,0.06707023088873414
P6,43,final_uncertainty,Final uncertainty,0.95,0.06749898497766951
P6,43,combined_logistic_lodo,Combined LODO,0.5,0.023912833863658278
P6,43,combined_logistic_lodo,Combined LODO,0.6,0.02161510646846123
P6,43,combined_logistic_lodo,Combined LODO,0.7,0.0243129692127557
P6,43,combined_logistic_lodo,Combined LODO,0.8,0.04146326764298198
P6,43,combined_logistic_lodo,Combined LODO,0.9,0.06337386832377993
P6,43,combined_logistic_lodo,Combined LODO,0.95,0.07328461226146975
P6,43,branch_disagreement,Top-label conflict,0.5,0.040979654806672455
P6,43,branch_disagreement,Top-label conflict,0.6,0.04186420249096023
P6,43,branch_disagreement,Top-label conflict,0.7,0.041876162270128796
P6,43,branch_disagreement,Top-label conflict,0.8,0.04206593141686253
P6,43,branch_disagreement,Top-label conflict,0.9,0.06653452616917555
P6,43,branch_disagreement,Top-label conflict,0.95,0.07800446609825416
P7,41,final_uncertainty,Final uncertainty,0.5,0.03556242752222652
P7,41,final_uncertainty,Final uncertainty,0.6,0.03691534596057209
P7,41,final_uncertainty,Final uncertainty,0.7,0.03495499475398973
P7,41,final_uncertainty,Final uncertainty,0.8,0.033146501739466566
P7,41,final_uncertainty,Final uncertainty,0.9,0.04488253231971825
P7,41,final_uncertainty,Final uncertainty,0.95,0.05960857712495422
P7,41,combined_logistic_lodo,Combined LODO,0.5,0.015925782759953613
P7,41,combined_logistic_lodo,Combined LODO,0.6,0.017394665635871664
P7,41,combined_logistic_lodo,Combined LODO,0.7,0.02335855099674195
P7,41,combined_logistic_lodo,Combined LODO,0.8,0.03498260533436413
P7,41,combined_logistic_lodo,Combined LODO,0.9,0.04883391315552119
P7,41,combined_logistic_lodo,Combined LODO,0.95,0.061642999552427066
P7,41,branch_disagreement,Top-label conflict,0.5,0.03687669114804793
P7,41,branch_disagreement,Top-label conflict,0.6,0.03685092127303183
P7,41,branch_disagreement,Top-label conflict,0.7,0.036666850737202494
P7,41,branch_disagreement,Top-label conflict,0.8,0.03686702744491689
P7,41,branch_disagreement,Top-label conflict,0.9,0.05858351586994803
P7,41,branch_disagreement,Top-label conflict,0.95,0.06880416649713146
P7,42,final_uncertainty,Final uncertainty,0.5,0.07375338229609586
P7,42,final_uncertainty,Final uncertainty,0.6,0.07060945754413091
P7,42,final_uncertainty,Final uncertainty,0.7,0.06720415263128832
P7,42,final_uncertainty,Final uncertainty,0.8,0.06044646308465404
P7,42,final_uncertainty,Final uncertainty,0.9,0.055061632951080186
P7,42,final_uncertainty,Final uncertainty,0.95,0.05952720022785531
P7,42,combined_logistic_lodo,Combined LODO,0.5,0.02435253189022033
P7,42,combined_logistic_lodo,Combined LODO,0.6,0.021324571575827858
