method,class_label,n_observed_donors,mean_f1,sd_across_donors,ci95_low,ci95_high,ci95_margin,worst_donor,worst_donor_f1,total_test_support
mlp,CD8 Naive,8,0.9772371223227124,0.009565806058948285,0.9692399083271493,0.9852343363182755,0.007997213995563043,P4,0.9608569658929405,10478
mlp,CD8 Naive_2,8,0.5589848745615935,0.08747951821574755,0.4858501671371566,0.6321195819860304,0.07313470742443688,P1,0.44656084656084655,290
mlp,CD8 Proliferating,8,0.6113791412577344,0.12666650299489682,0.5054832947104139,0.7172749878050549,0.10589584654732058,P4,0.436026936026936,91
mlp,CD8 TCM_1,8,0.6794394964903089,0.04367583858723872,0.6429255816706496,0.7159534113099681,0.03651391481965923,P4,0.6149858383746937,929
mlp,CD8 TCM_2,8,0.8095789740171945,0.08583292722495353,0.7378208511100893,0.8813370969242996,0.07175812290710519,P2,0.6345545753329874,1322
mlp,CD8 TCM_3,8,0.808616674789041,0.06289193274207479,0.7560377032278898,0.8611956463501922,0.052578971561151246,P4,0.7330147680569485,632
mlp,CD8 TEM_1,8,0.8752445337560741,0.02862478685295087,0.8513136130757111,0.8991754544364372,0.023930920680363052,P8,0.8415125140668004,2786
mlp,CD8 TEM_2,8,0.7372889209512361,0.10317376563561524,0.6510334943377888,0.8235443475646834,0.08625542661344733,P7,0.5393449945623155,2435
mlp,CD8 TEM_3,8,0.5769227890483163,0.0795730583231149,0.5103980475085182,0.6434475305881143,0.06652474153979804,P4,0.4760710553814002,393
mlp,CD8 TEM_4,8,0.7860446138311706,0.0881942586639058,0.7123123684386856,0.8597768592236557,0.07373224539248499,P5,0.6599797191977296,3504
mlp,CD8 TEM_5,8,0.6194898784126761,0.2887899170521537,0.37805546586084,0.8609242909645123,0.24143441255183612,P6,0.08333333333333333,1973
mlp,CD8 TEM_6,8,0.8319042013620845,0.10299606972776743,0.7457973322452494,0.9180110704789197,0.08610686911683516,P6,0.6217948717948718,636
mlp,Doublet,8,0.6071594871806377,0.08931574768864754,0.5324896535003215,0.6818293208609539,0.07466983368031622,P7,0.5108313902500862,605
mlp,Eryth,8,0.8259982839830683,0.09191103871340545,0.7491587327088711,0.9028378352572655,0.07683955127419717,P7,0.6666666666666666,83
mlp,HSPC,8,0.978884378193219,0.021452687958391004,0.9609494822392284,0.9968192741472097,0.017934895953990698,P7,0.9473684210526315,329
mlp,ILC,8,0.9032305032811239,0.04416507204658701,0.8663075790539889,0.9401534275082588,0.03692292422713494,P4,0.812962962962963,132
mlp,MAIT,8,0.9385664916682355,0.05069235418533691,0.89618662301307,0.980946360323401,0.042379868655165555,P1,0.8732648615001556,2784
mlp,NK Proliferating,8,0.8908851546088332,0.04295605547301222,0.8549729935315549,0.9267973156861116,0.03591216107727833,P7,0.820827179991732,548
mlp,NK_1,8,0.6461116279132892,0.27114639035076804,0.4194275728115105,0.872795683015068,0.22668405510177875,P3,0.23539732471760932,4126
mlp,NK_2,8,0.9078000791000165,0.021853278439981624,0.8895302811224928,0.9260698770775402,0.01826979797752368,P7,0.8669804056320961,9418
mlp,NK_3,8,0.599380338042425,0.10085616275546543,0.5150624759243349,0.6836982001605151,0.08431786211809009,P3,0.43800393218382633,2152
mlp,NK_4,8,0.6768770265736969,0.042080464278420236,0.6416968780537119,0.7120571750936818,0.035180148519984994,P4,0.6232581453634085,1477
mlp,NK_CD56bright,8,0.8729682881307816,0.049463246535139026,0.8316159791858635,0.9143205970756998,0.04135230894491811,P4,0.7802197802197801,943
mlp,Plasma,8,0.9823799444208265,0.011286608838700932,0.9729441032997461,0.991815785541907,0.00943584112108044,P2,0.9613406795224977,318
mlp,Plasmablast,7,0.9464568465810702,0.07557870820966038,0.8765581996972202,1.0163554934649202,0.06989864688385002,P1,0.8119658119658121,48
mlp,Platelet,8,0.9440945334845312,0.044662580740842193,0.9067556815804088,0.9814333853886537,0.03733885190412249,P2,0.8411214953271028,2293
mlp,Treg Memory,8,0.808564005333227,0.0304497228668006,0.7831073999650259,0.8340206107014282,0.02545660536820113,P5,0.7730564689643974,1212
mlp,Treg Naive,8,0.7394397847504244,0.07784053019252221,0.6743634729747571,0.8045160965260917,0.06507631177566735,P6,0.6425925925925927,1295
mlp,cDC1,8,0.9659239616592558,0.0272539433920522,0.9431390947922009,0.9887088285263106,0.022784866867054793,P2,0.9333333333333332,151
mlp,cDC2_1,8,0.6624959084535712,0.0480122757139489,0.6223566414715435,0.702635175435599,0.04013926698202774,P2,0.5937774274076995,772
mlp,cDC2_2,8,0.9270859573747041,0.020439218866000485,0.9099983427851682,0.94417357196424,0.017087614589535862,P4,0.897214660827073,1729
mlp,dnT_1,8,0.3905888911250628,0.2605194887596499,0.17278914808337031,0.6083886341667553,0.21779974304169247,P5,0.0,189
mlp,dnT_2,8,0.9415967147418138,0.041778596653615455,0.9066689338716661,0.9765244956119615,0.034927780870147696,P4,0.9041394335511982,167
mlp,gdT_1,8,0.9504821402903139,0.03843092441703884,0.9183530834480137,0.982611197132614,0.032129056842300135,P8,0.8722211874754248,1633
mlp,gdT_2,8,0.39263859855753414,0.368606242371592,0.08447606816748165,0.7008011289475866,0.3081625303900525,P1,0.0,769
mlp,gdT_3,8,0.9169812389503817,0.011514704513554718,0.9073547050730373,0.9266077728277262,0.009626533877344478,P2,0.9002019252342439,724
mlp,gdT_4,8,0.6826201702950312,0.1007019347495312,0.5984312460165716,0.7668090945734908,0.0841889242784596,P8,0.5366420441492911,523
mlp,pDC,8,0.9947783561017017,0.0066144043442828895,0.989248575687125,1.0003081365162785,0.00552978041457678,P1,0.9798100949525237,861
mosaic_full,ASDC_mDC,8,0.7667223707664883,0.2425421238342521,0.5639520809144983,0.9694926606184783,0.20277028985198997,P8,0.2222222222222222,40
mosaic_full,ASDC_pDC,8,0.7905141223155929,0.13058432629889058,0.6813428935196919,0.899685351111494,0.10917122879590097,P1,0.6309523809523809,36
mosaic_full,B intermediate kappa,8,0.8490406493754097,0.02818169066125207,0.82548016638151,0.8726011323693094,0.023560482993899658,P7,0.7926736343219806,1100
mosaic_full,B intermediate lambda,8,0.8280921510346235,0.03954640479895115,0.7950305292556069,0.8611537728136401,0.03306162177901661,P1,0.7437960994304014,1331
