class_label,modality,marker_group,representative_markers,available_panel_markers,n_representative_markers,n_available_panel_markers,top20_attribution_features,top20_marker_hits,top20_marker_fraction,n_correct_attribution_cells,n_checkpoint_runs_with_correct_cells,n_checkpoint_runs,mean_f1,total_test_support,mean_rna_weight,mean_adt_weight,mean_fusion_weight,interpretation,source
CD4 TEM_2,RNA,cd4,CD3D;CD3E;IL7R;LTB,CD3D;CD3E;IL7R;LTB,4,4,GZMK;IL7R;RPL37;OTULINL;BASP1;DEPDC1B;DAB2;SLFN11;ACSL1;GZMA;AC133644.2;MAT2A;CD8A;CCL4L2;CCL5;IGKC;CYTOR;TAOK1;SLC12A7;RNF181,1,0.25,192,24,24,0.6921455634576258,452,0.13185689766666667,0.097638666,0.7705044158333333,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 TEM_2,ADT,cd4,CD3;CD4;CD45RO;CD95;CD57,CD3;CD4;CD45RO;CD95;CD57,5,5,CD81;CD279;CD55;CD45RO;CD4-1;CD278;CD127;CD2;CD26-2;CD27;CD25;CD109;Integrin-7;CD305;CD28;CD99;CD71;CD195;CD18;CD8a,2,0.4,192,24,24,0.6921455634576258,452,0.13185689766666667,0.097638666,0.7705044158333333,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 TEM_3,RNA,cd4,CD3D;CD3E;IL7R;LTB,CD3D;CD3E;IL7R;LTB,4,4,IL7R;CLEC4A;RPL37;PTPN6;ABHD15;C3AR1;SPECC1;CLECL1;DAB2;CCL4L2;OTULINL;PARP8;FAM107B;TAOK1;TRAF4;CENPU;AC106897.1;ARHGAP21;TRIO;ACRBP,1,0.25,192,24,24,0.7483699778243362,2044,0.15670699475000002,0.108805513,0.7344874845833332,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 TEM_3,ADT,cd4,CD3;CD4;CD45RO;CD95;CD57,CD3;CD4;CD45RO;CD95;CD57,5,5,Integrin-7;CD127;CD26-2;CD2;CD4-1;CD29;CD28;CD109;CD103;CD278;CD27;CD73;CD81;CD195;CD3-1;CD96;CD305;CD45-2;CD161;CD25,2,0.4,192,24,24,0.7483699778243362,2044,0.15670699475000002,0.108805513,0.7344874845833332,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 TEM_4,RNA,cd4,CD3D;CD3E;IL7R;LTB,CD3D;CD3E;IL7R;LTB,4,4,CENPU;CD8A;PTPN6;RPL37;CLEC4A;CBLB;TRAF4;ACSL1;VAMP8;TMSB10;FAM107B;C3AR1;RPL17;DNAJC1;FMNL2;TMEM156;RNF135;CD8B;SLC12A9;MALAT1,0,0.0,62,19,24,0.3715278038586309,80,0.2913627761904762,0.12969799778571428,0.578939228095238,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD4 TEM_4,ADT,cd4,CD3;CD4;CD45RO;CD95;CD57,CD3;CD4;CD45RO;CD95;CD57,5,5,CD103;Integrin-7;CD96;CD127;CD4-1;CD73;CD196;CD45RA;CD2;CD28;CD26-2;CD109;CD49d;Siglec-8;CD8a;CD8;CD27;CD45-2;CD366;CD185,1,0.2,62,19,24,0.3715278038586309,80,0.2913627761904762,0.12969799778571428,0.578939228095238,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD8 Naive,RNA,cd8,CD3D;CD3E;CD8A;CD8B,CD3D;CD3E;CD8A;CD8B,4,4,CYTOR;CD8A;CD8B;IGKC;VAMP5;HK2;TMSB10;VAMP8;TIAM1;AC133644.2;GZMK;SPECC1;GNLY;TRABD2A;MAT2A;GABARAPL1;KLRF1;IL7R;FAM107B;TBL1X,2,0.5,192,24,24,0.9795372957008384,10478,0.17979085125000002,0.10620944566666668,0.7139997008333333,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD8 Naive,ADT,cd8,CD3;CD8;CD45RA;CD27;CD127,CD3;CD8;CD45RA;CD27;CD127,5,5,CD8;CD8a;CD45RA;CD73;CD49d;CD27;CD314;CD99;Integrin-7;CD18;CD45RB;CD3-1;CD4-1;CD29;CD43;CD278;CD95;CD2;CD127;CD26-2,5,1.0,192,24,24,0.9795372957008384,10478,0.17979085125000002,0.10620944566666668,0.7139997008333333,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD8 Naive_2,RNA,cd8,CD3D;CD3E;CD8A;CD8B,CD3D;CD3E;CD8A;CD8B,4,4,DEPDC1B;CYTOR;AC133644.2;IGKC;OTULINL;DAB2;GNLY;VAMP5;CD8B;HIST1H2AC;VAMP8;CD8A;MAT2A;TRAF4;TPMT;RPL37;HK2;IL7R;GZMK;MCUR1,2,0.5,191,24,24,0.6304681691536236,290,0.17647745491666667,0.10280607241666666,0.7207164712499999,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
CD8 Naive_2,ADT,cd8,CD3;CD8;CD45RA;CD27;CD127,CD3;CD8;CD45RA;CD27;CD127,5,5,CD278;CD38-1;CD38-2;CD8a;CD8;CD28;CD71;CD27;CD48;Integrin-7;CD81;CD49d;CD102;CD2;CD45RA;CD73;CD314;CD127;CD45RB;CD43,4,0.8,191,24,24,0.6304681691536236,290,0.17647745491666667,0.10280607241666666,0.7207164712499999,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
