test_donor,seed,method,accuracy,weighted_f1,macro_f1,balanced_accuracy
P7,42,raw_margin_gate,0.9179390050635847,0.9166117188004291,0.8202957218507912,0.8029691434517449
P7,42,uniform_fusion,0.9200262842565035,0.9187537688403279,0.8254738277491346,0.808125424614629
P7,42,train_scaled_margin_gate,0.91786169842681,0.916601277517122,0.822065191844319,0.80667220675539
P7,42,train_scaled_margin_gate_hsr,0.9179390050635847,0.9166547687838599,0.8210932193929381,0.8050009440392634
P7,43,raw_margin_gate,0.9168180588303506,0.916241535224136,0.8243366237198666,0.8293738014051836
P7,43,uniform_fusion,0.9180549650187468,0.9174644507254563,0.8283432195992855,0.8338016770322342
P7,43,train_scaled_margin_gate,0.915851725870666,0.9148522065788045,0.8207515967708949,0.8201479784092894
P7,43,train_scaled_margin_gate_hsr,0.9160836457809903,0.9150929957750155,0.8213066969707108,0.8204502998036953
P8,41,raw_margin_gate,0.9079619047619047,0.9067503674099174,0.8167139097232138,0.810872847519042
P8,41,uniform_fusion,0.9093333333333333,0.9080517078906507,0.8189938502602206,0.8129106804448699
P8,41,train_scaled_margin_gate,0.9102857142857143,0.9091215545092485,0.8242332089039069,0.8119142861168612
P8,41,train_scaled_margin_gate_hsr,0.9103619047619048,0.9092152985500294,0.8239969082243285,0.81178291682808
P8,42,raw_margin_gate,0.9110095238095238,0.9096783507939815,0.8269610658199595,0.8102256869788886
P8,42,uniform_fusion,0.9107809523809524,0.9093710575540133,0.8261407345252313,0.8105819784400444
P8,42,train_scaled_margin_gate,0.9096380952380952,0.907927739427824,0.831417491935576,0.8128445028328348
P8,42,train_scaled_margin_gate_hsr,0.9098666666666667,0.9081741748354452,0.8319143408016892,0.8131230471621079
P8,43,raw_margin_gate,0.9087238095238095,0.9073234365176915,0.8173972235971748,0.8073085969881781
P8,43,uniform_fusion,0.9093714285714286,0.9079268858669569,0.8199806014518557,0.809282877904305
P8,43,train_scaled_margin_gate,0.9077714285714286,0.9068386925690854,0.8269783907413152,0.8099297313309018
P8,43,train_scaled_margin_gate_hsr,0.9081523809523809,0.9072136958782607,0.828022567881598,0.8105825006575659
