test_donor,seed,scenario,mask_fraction,n_masked_proteins,mask_seed,mask_source,n_test,accuracy,weighted_f1,macro_f1,balanced_accuracy,ece,brier,full_accuracy,delta_accuracy,full_weighted_f1,delta_weighted_f1,full_macro_f1,delta_macro_f1,full_balanced_accuracy,delta_balanced_accuracy,full_ece,delta_ece,full_brier,delta_brier
P1,43,random_30,0.3,67,331433,legacy_v33_deterministic_feature_mask,18135,0.9020678246484698,0.9008140341469428,0.7940498101799014,0.8114137409356896,0.06965102297989569,0.1699361652135849,0.9112213950923629,-0.009153570443893089,0.9103885162635358,-0.009574482116592953,0.8082371266317265,-0.014187316451825138,0.8229930596221171,-0.011579318686427476,0.06891235818966776,0.0007386647902279248,0.15708790719509125,0.012848258018493652
P1,43,random_50,0.5,112,331435,legacy_v33_deterministic_feature_mask,18135,0.8955059277639923,0.8936435588305288,0.7756734823663552,0.7914911707312057,0.06383997424676918,0.18280671536922455,0.9112213950923629,-0.01571546732837059,0.9103885162635358,-0.01674495743300697,0.8082371266317265,-0.03256364426537128,0.8229930596221171,-0.031501888890911434,0.06891235818966776,-0.005072383942898578,0.15708790719509125,0.0257188081741333
P1,43,random_70,0.7,157,331437,legacy_v33_deterministic_feature_mask,18135,0.8850840915357044,0.8847184064890734,0.7495417799013979,0.763078156598087,0.07463633285135418,0.19721567630767822,0.9112213950923629,-0.026137303556658442,0.9103885162635358,-0.02567010977446238,0.8082371266317265,-0.05869534673032861,0.8229930596221171,-0.05991490302403013,0.06891235818966776,0.005723974661686421,0.15708790719509125,0.040127769112586975
P1,43,marker_memory,,6,,legacy_v33_deterministic_feature_mask,18135,0.9068651778329198,0.9059683110052409,0.8039422166966588,0.8199545202283646,0.07127674390888752,0.16364964842796326,0.9112213950923629,-0.004356217259443129,0.9103885162635358,-0.004420205258294896,0.8082371266317265,-0.004294909935067759,0.8229930596221171,-0.0030385393937525373,0.06891235818966776,0.0023643857192197637,0.15708790719509125,0.006561741232872009
P1,43,marker_tcell,,15,,legacy_v33_deterministic_feature_mask,18135,0.9007444168734491,0.9001602365168259,0.7811550553927182,0.7976438829953226,0.07235824912252395,0.17175130546092987,0.9112213950923629,-0.010476978218913802,0.9103885162635358,-0.010228279746709923,0.8082371266317265,-0.0270820712390083,0.8229930596221171,-0.02534917662679448,0.06891235818966776,0.003445890932856188,0.15708790719509125,0.014663398265838623
P1,43,rna_only,1.0,224,,legacy_v33_deterministic_feature_mask,18135,0.8855803694513372,0.885011394955547,0.7503781841794553,0.7668244248434822,0.11219243982959326,0.19777455925941467,0.9112213950923629,-0.02564102564102566,0.9103885162635358,-0.025377121307988748,0.8082371266317265,-0.05785894245227119,0.8229930596221171,-0.056168634778634874,0.06891235818966776,0.0432800816399255,0.15708790719509125,0.040686652064323425
P1,43,random_size_matched_6,0.026785714285714284,6,821431,random_feature_name_only_size_matched_to_targeted_mask,18135,0.9091811414392059,0.9082145925590597,0.8059769689679466,0.8200789380162427,0.06926930304365049,0.158390611410141,0.9112213950923629,-0.002040253653156965,0.9103885162635358,-0.0021739237044761106,0.8082371266317265,-0.0022601576637799603,0.8229930596221171,-0.0029141216058744535,0.06891235818966776,0.0003569448539827297,0.15708790719509125,0.0013027042150497437
P1,43,random_size_matched_15,0.06696428571428571,15,821432,random_feature_name_only_size_matched_to_targeted_mask,18135,0.9082437275985663,0.9073260926301684,0.7989560482399144,0.811431225184009,0.0705648002880547,0.1612355262041092,0.9112213950923629,-0.0029776674937965764,0.9103885162635358,-0.003062423633367395,0.8082371266317265,-0.009281078391812136,0.8229930596221171,-0.011561834438108098,0.06891235818966776,0.0016524420983869414,0.15708790719509125,0.004147619009017944
P2,41,full,0.0,0,,legacy_v33_deterministic_feature_mask,17205,0.9145015983725661,0.9145045541527477,0.82503439522081,0.8335119825368792,0.07369091757176681,0.13914898037910461,0.9145015983725661,0.0,0.9145045541527477,0.0,0.82503439522081,0.0,0.8335119825368792,0.0,0.07369091757176681,0.0,0.13914898037910461,0.0
P2,41,random_10,0.1,22,332411,legacy_v33_deterministic_feature_mask,17205,0.9113629758791049,0.9118926110681776,0.8214199830742599,0.8334548420912309,0.07474616863758056,0.14428479969501495,0.9145015983725661,-0.003138622493461196,0.9145045541527477,-0.002611943084570023,0.82503439522081,-0.0036144121465501167,0.8335119825368792,-5.7140445648307114e-05,0.07369091757176681,0.0010552510658137504,0.13914898037910461,0.005135819315910339
P2,41,random_30,0.3,67,332413,legacy_v33_deterministic_feature_mask,17205,0.9065969195001453,0.9072476959356502,0.813282889927162,0.8169071906835438,0.08589904499812655,0.153802752494812,0.9145015983725661,-0.007904678872420745,0.9145045541527477,-0.007256858217097428,0.82503439522081,-0.01175150529364799,0.8335119825368792,-0.01660479185333541,0.07369091757176681,0.012208127426359738,0.13914898037910461,0.014653772115707397
P2,41,random_50,0.5,112,332415,legacy_v33_deterministic_feature_mask,17205,0.8975879104911363,0.8977230857053334,0.7813830742538667,0.7906450356447784,0.09767893050012116,0.171549454331398,0.9145015983725661,-0.016913687881429773,0.9145045541527477,-0.01678146844741424,0.82503439522081,-0.04365132096694335,0.8335119825368792,-0.0428669468921008,0.07369091757176681,0.023988012928354355,0.13914898037910461,0.032400473952293396
P2,41,random_70,0.7,157,332417,legacy_v33_deterministic_feature_mask,17205,0.8950886370241209,0.8969273803770913,0.7748821028872664,0.789621648592978,0.09714780257420981,0.17394563555717468,0.9145015983725661,-0.019412961348445168,0.9145045541527477,-0.017577173775656374,0.82503439522081,-0.05015229233354357,0.8335119825368792,-0.04389033394390118,0.07369091757176681,0.023456885002443,0.13914898037910461,0.03479665517807007
P2,41,marker_memory,,6,,legacy_v33_deterministic_feature_mask,17205,0.9118860796280152,0.9118348718614792,0.8147497036872757,0.8243042705239844,0.07955870293524678,0.14221324026584625,0.9145015983725661,-0.0026155187445509043,0.9145045541527477,-0.002669682291268516,0.82503439522081,-0.010284691533534285,0.8335119825368792,-0.009207712012894831,0.07369091757176681,0.005867785363479969,0.13914898037910461,0.003064259886741638
